わざ名,配布対象,タイプ,いりょく,めいちゅう,PP,ぶんるい,接触/非接触,効果
あくび,"たつた、うめ、まちだ、とうま、もりもり、あゆま、ぶっちー、ともき、はるた、
まっちゃん、にしき、せな、いっくん、ふうと、れおさん",ノーマル,-,-,10,変化,非接触,次のターンに相手をねむり状態にする。
あさのひざし,えいらく、たかほ、まちだ、はるた、ふうと、まこっちゃん,ノーマル,-,-,5,変化,非接触,"天気が通常の時は最大HPの1/2、晴れ状態の時は最大HPの2/3、
それ以外の時は最大HPの1/4回復する。"
アンコール,"えいらく、たかほ、まちだ、とうま、もりもり、あゆま、ぶっちー、はるた、まっちゃん、
にしき、せな、いっくん、ふうと、まこっちゃん、れおさん",ノーマル,-,100,5,変化,非接触,相手が直前に出した技を3回続けて出させる。
いたみわけ,もりみつ、みっちー,ノーマル,-,-,20,変化,非接触,自分のHPと相手のHPを足して半分ずつに分ける。
いばる,"もりみつ、とうま、もりもり、あゆま、ともき、まっちゃん、みっちー、いっくん、
ふうと",ノーマル,-,85,15,変化,非接触,相手を1～4ターンの間こんらん状態にする。相手の攻撃を2段階上げる。
いやなおと,れおさん,ノーマル,-,85,40,変化,非接触,相手の防御を2段階下げる。相手の「みがわり」状態を貫通する。
うたう,えいらく、たつた、ふうと,ノーマル,-,55,15,変化,非接触,相手をねむり状態にする。相手の「みがわり」状態を貫通する。
えんまく,うめ、とうま、あゆま、ともき、みっちー、いっくん,ノーマル,-,100,20,変化,非接触,相手の命中率を1段階下げる。
おさきにどうぞ,たかほ、まちだ、ぶっちー、まこっちゃん,ノーマル,-,-,15,変化,非接触,受けた相手は自分の行動の後に続けて行動する。
おたけび,もりみつ、うめ、とうま、もりもり、あゆま、まっちゃん、いっくん,ノーマル,-,100,30,変化,非接触,相手の攻撃と特攻を1段階下げる。相手の「みがわり」状態を貫通する。
かげぶんしん,えいらく、とうま、ふうと,ノーマル,-,-,15,変化,非接触,自分の回避率を1段階上げる。
かたくなる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",ノーマル,-,-,30,変化,非接触,自分の防御を1段階上げる。
かなしばり,れおさん,ノーマル,-,100,20,変化,非接触,相手が直前に出した技を4ターンの間使えなくする。
からをやぶる,まちだ、あゆま、みっちー,ノーマル,-,-,15,変化,非接触,自分の防御と特防を1段階下げ、攻撃と特攻と素早さを2段階上げる。
